rank,dataset_id,title,organisation,formats,confidence,reason,record_grain,likely_fields,rule_score,licence,found_by,landing_page,download_format,resource_name,download_url
1,5bd7fcab-e315-42cb-8daf-50b7efc2027e,ABN Bulk Extract,Australian Business Register,CSV|XML|ZIP,1.0,This is a bulk extract of registered Australian businesses from the Australian Business Register.,entity,legal_name|trading_name|abn|entity_type|status,1.0,Creative Commons Attribution 3.0 Australia,both_channels,https://data.gov.au/dataset/abn-bulk-extract,ZIP,ABN Bulk Extract Part 1,https://data.gov.au/data/dataset/5bd7fcab-e315-42cb-8daf-50b7efc2027e/resource/0ae4d427-6fa8-4d40-8e76-c6909b5a071b/download/public_split_1_10.zip
2,7b8656f9-606d-4337-af29-66b89b2eeefb,ASIC - Company Dataset,Australian Securities and Investments Commission (ASIC),CSV|ZIP,1.0,This dataset tracks companies registered with the Australian Securities and Investments Commission.,entity,legal_name|acn|status|date_registered,0.95,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/asic-companies,CSV,Company Dataset - Current,https://data.gov.au/data/dataset/7b8656f9-606d-4337-af29-66b89b2eeefb/resource/5c3914e6-413e-4a2c-b890-bf8efe3eabf2/download/company_202609.csv
3,fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4,ASIC – Credit Licensee Dataset,Australian Securities and Investments Commission (ASIC),CSV|TSV|XLSX,1.0,This identifies businesses specifically holding Australian credit licences.,entity,legal_name|abn|status|address_full,0.85,Creative Commons Attribution 3.0 Australia,both_channels,https://data.gov.au/dataset/asic-credit-licensee,CSV,Credit Licence Dataset - Current,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/35953a01-a9a8-4609-8566-c9fa7de465d3/download/credit_lic_202609.csv
4,3a3661a8-ee5d-4165-be5c-018634ca7202,ABN Lookup web services,Australian Business Register,XML,1.0,This service provides access to individual entity records from the Australian Business Register.,entity,legal_name|abn|trading_name|status,0.65,Creative Commons Attribution 3.0 Australia,both_channels,https://data.gov.au/dataset/abn-lookup-web-services,XML,ABN Lookup web services,http://abr.business.gov.au/abrxmlsearch/AbrXmlSearch.asmx?WSDL
5,bc515135-4bb6-4d50-957a-3713709a76d3,ASIC - Business Names Dataset,Australian Securities and Investments Commission (ASIC),CSV|ZIP,1.0,"This lists business names registered with ASIC, which are entities or business activities.",entity,trading_name|abn|status,0.65,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/asic-business-names,CSV,Business Names Dataset - Current,https://data.gov.au/data/dataset/bc515135-4bb6-4d50-957a-3713709a76d3/resource/55ad4b1c-5eeb-44ea-8b29-d410da431be3/download/business_names_202609.csv
6,ab7eddce-84df-4098-bc8f-500d0d9776d1,ASIC - Australian Financial Services Licensee Dataset,Australian Securities and Investments Commission (ASIC),CSV|TSV|XLSX,1.0,Contains details of individual Australian Financial Services Licensees.,entity,legal_name|address_full|postcode|status,0.65,Creative Commons Attribution 3.0 Australia,both_channels,https://data.gov.au/dataset/asic-afs-licensee,CSV,AFS Licensee Dataset - Current,https://data.gov.au/data/dataset/ab7eddce-84df-4098-bc8f-500d0d9776d1/resource/d98a113d-6b50-40e6-b65f-2612efc877f4/download/afs_lic_202609.csv
7,a7bbbf64-e2ef-4d96-9fb4-0aea73ada2af,ASIC – Australian Financial Services Authorised Representative Dataset,Australian Securities and Investments Commission (ASIC),CSV|XLSX,1.0,Identifies individuals or firms acting as authorised representatives for financial services.,entity,legal_name|status|address_full,0.65,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/asic-afs-authorised-representative,CSV,AFS Authorised Representative Dataset - Current,https://data.gov.au/data/dataset/a7bbbf64-e2ef-4d96-9fb4-0aea73ada2af/resource/5515dfcc-5266-44df-950d-7e359a83d514/download/afs_rep_202609.csv
8,a3b6d445-3a00-409a-8b49-53dc62b823bf,ASIC – Credit Representative Dataset,Australian Securities and Investments Commission (ASIC),CSV|TSV|XLSX,1.0,Tracks individual credit representatives authorised under financial services legislation.,entity,legal_name|status,0.6,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/asic-credit-representative,CSV,Credit Representative Dataset - Current,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/999d9e92-df2c-4d6d-b580-321dcd205292/download/credit_rep_202609.csv
9,4117fdec-3eff-44a1-9b78-869f7ec5c409,ASIC - Registered Auditor Dataset,Australian Securities and Investments Commission (ASIC),CSV|TSV|XLSX,1.0,Direct listing of individual and corporate auditors registered with the regulator.,entity,legal_name|acn|status,0.3,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/asic-registered-auditor,CSV,Registered Auditor Dataset - Current,https://data.gov.au/data/dataset/4117fdec-3eff-44a1-9b78-869f7ec5c409/resource/0f2e41ec-6f49-4d35-8e6d-ebcd4a0e3e27/download/reg_auditor_202609.csv
10,4d35cd80-2538-4705-82f3-d0d18e823d98,WGEA Dataset,Workplace Gender Equality Agency (WGEA),CSV|XLSX|ZIP,1.0,This is a direct list of organizations reporting to the WGEA.,entity,legal_name|abn,0.3,Creative Commons Attribution 3.0 Australia,both_channels,https://data.gov.au/dataset/wgea-dataset,CSV,2025 WGEA Data - Public Data File,https://data.gov.au/data/dataset/4d35cd80-2538-4705-82f3-d0d18e823d98/resource/380faa66-1126-4020-8b89-496821290624/download/wgea_public_dataset_2025.zip
11,b050b242-4487-4306-abf5-07ca073e5594,ACNC Registered Charities,Australian Charities and Not-for-profits Commission (ACNC),CSV|XLSX,1.0,Official register of all ACNC-registered charities.,entity,legal_name|abn|status,0.25,Creative Commons Attribution 3.0 Australia,dataset_text,https://data.gov.au/dataset/acnc-register,CSV,ACNC Register of Australian charities CSV,https://data.gov.au/data/dataset/b050b242-4487-4306-abf5-07ca073e5594/resource/8fb32972-24e9-4c95-885e-7140be51be8a/download/datadotgov_main.csv
12,276ec1bc-4971-461c-88bc-be9f3c99a0f8,ACNC 2024 Annual Information Statement (AIS) Data,Australian Charities and Not-for-profits Commission (ACNC),CSV|XLSX,1.0,Contains annual report data submitted by registered charities.,entity,legal_name|abn,0.25,notspecified,dataset_text,https://data.gov.au/dataset/acnc-2024-annual-information-statement-ais-data,CSV,datadotgov_ais24,https://data.gov.au/data/dataset/276ec1bc-4971-461c-88bc-be9f3c99a0f8/resource/710630ea-1202-4bbb-95f7-3973a972ddf8/download/datadotgov_ais24.csv
