rank,dataset_id,title,landing_page,download_url,model_confidence,model_reason,verdict_yes_no,what_you_saw
1,5bd7fcab-e315-42cb-8daf-50b7efc2027e,ABN Bulk Extract,https://data.gov.au/dataset/abn-bulk-extract,https://data.gov.au/data/dataset/5bd7fcab-e315-42cb-8daf-50b7efc2027e/resource/0ae4d427-6fa8-4d40-8e76-c6909b5a071b/download/public_split_1_10.zip,1.0,This is a bulk extract of registered Australian businesses from the Australian Business Register.,,
2,7b8656f9-606d-4337-af29-66b89b2eeefb,ASIC - Company Dataset,https://data.gov.au/dataset/asic-companies,https://data.gov.au/data/dataset/7b8656f9-606d-4337-af29-66b89b2eeefb/resource/5c3914e6-413e-4a2c-b890-bf8efe3eabf2/download/company_202609.csv,1.0,This dataset tracks companies registered with the Australian Securities and Investments Commission.,,
4,3a3661a8-ee5d-4165-be5c-018634ca7202,ABN Lookup web services,https://data.gov.au/dataset/abn-lookup-web-services,http://abr.business.gov.au/abrxmlsearch/AbrXmlSearch.asmx?WSDL,1.0,This service provides access to individual entity records from the Australian Business Register.,,
5,bc515135-4bb6-4d50-957a-3713709a76d3,ASIC - Business Names Dataset,https://data.gov.au/dataset/asic-business-names,https://data.gov.au/data/dataset/bc515135-4bb6-4d50-957a-3713709a76d3/resource/55ad4b1c-5eeb-44ea-8b29-d410da431be3/download/business_names_202609.csv,1.0,"This lists business names registered with ASIC, which are entities or business activities.",,
6,ab7eddce-84df-4098-bc8f-500d0d9776d1,ASIC - Australian Financial Services Licensee Dataset,https://data.gov.au/dataset/asic-afs-licensee,https://data.gov.au/data/dataset/ab7eddce-84df-4098-bc8f-500d0d9776d1/resource/d98a113d-6b50-40e6-b65f-2612efc877f4/download/afs_lic_202609.csv,1.0,Contains details of individual Australian Financial Services Licensees.,,
7,a7bbbf64-e2ef-4d96-9fb4-0aea73ada2af,ASIC – Australian Financial Services Authorised Representative Dataset,https://data.gov.au/dataset/asic-afs-authorised-representative,https://data.gov.au/data/dataset/a7bbbf64-e2ef-4d96-9fb4-0aea73ada2af/resource/5515dfcc-5266-44df-950d-7e359a83d514/download/afs_rep_202609.csv,1.0,Identifies individuals or firms acting as authorised representatives for financial services.,,
9,4117fdec-3eff-44a1-9b78-869f7ec5c409,ASIC - Registered Auditor Dataset,https://data.gov.au/dataset/asic-registered-auditor,https://data.gov.au/data/dataset/4117fdec-3eff-44a1-9b78-869f7ec5c409/resource/0f2e41ec-6f49-4d35-8e6d-ebcd4a0e3e27/download/reg_auditor_202609.csv,1.0,Direct listing of individual and corporate auditors registered with the regulator.,,
18,980b6499-c0b4-491b-ba9c-1c7506368a50,QBCC Licensed Contractors Register,https://data.gov.au/dataset/qbcc-licensed-contractors-register,https://www.data.qld.gov.au/dataset/980b6499-c0b4-491b-ba9c-1c7506368a50/resource/25608781-b28c-44f8-8545-0ab18d84082f/download/builder-contractor-qbcc-licensee-register.csv,0.95,This is a comprehensive register of licensed construction contractors.,,
21,1ca29b03-220d-4c19-b34e-c7932cd4508d,Victorian Government Schools ABNs,https://data.gov.au/dataset/victorian-government-schools-abns,http://www.education.vic.gov.au/Documents/about/research/datavic/dv183-schoolABNdetails.xlsx,0.9,Contains identifying information for individual Victorian government schools.,,
22,a265ef83-1190-4c63-ac51-a0ca3966c666,Victorian liquor licences split by licence type,https://data.gov.au/dataset/victorian-liquor-licences-split-by-licence-type,https://dar6fu3d3rk1b.cloudfront.net/datasets/liqvic/BYO_Permit.csv,0.9,A register of specific liquor licence holders in Victoria.,,
23,a5fde808-ba32-4cee-bfcb-fbb3afa56a28,ASIC - Banned and Disqualified Organisations Dataset,https://data.gov.au/dataset/asic-banned-disqualified-org,https://data.gov.au/data/dataset/a5fde808-ba32-4cee-bfcb-fbb3afa56a28/resource/ced03961-e6f7-4263-895a-0fd1d7996043/download/bd_org_202609.csv,0.9,Lists specific individuals or organisations that are banned or disqualified by ASIC.,,
25,37390371-9da4-42d8-9304-649c50090611,ASIC – Self-Managed Super Fund Auditor Dataset,https://data.gov.au/dataset/asic-smsf,https://data.gov.au/data/dataset/37390371-9da4-42d8-9304-649c50090611/resource/13b12e77-8fda-42ca-aa43-23715036836b/download/smsf_auditor_202604.csv,0.9,Provides a register of individual registered auditors for self-managed super funds.,,
26,8a1ad782-3d60-4c34-8cd8-f11c031947b7,Fair Jobs Code Registers,https://data.gov.au/dataset/fair-jobs-code-registers,https://fjc-vic-gov.my.salesforce-sites.com/downloadCertExport,0.9,A registry of specific businesses compliant with the Fair Jobs Code.,,
28,c6f35652-d145-478a-8c54-11ce5db4dd16,Premises list as of 1 Nov 2020,https://data.gov.au/dataset/nsw-premises-list-as-of-1-nov-2020,https://data.nsw.gov.au/data/dataset/c6f35652-d145-478a-8c54-11ce5db4dd16/resource/85dd2cce-8f3c-4e9b-bee2-adce13bca10d/download/premises-list-as-of-1-november-2020.csv,0.9,Lists individual liquor licence premises in NSW.,,
34,d61374dd-1a62-4132-913d-35d90cfdac81,Intellectual Property Longitudinal Research Data (IPLORD),https://data.gov.au/dataset/intellectual-property-longitudinal-research-data-2020,https://data.gov.au/data/dataset/d61374dd-1a62-4132-913d-35d90cfdac81/resource/8ff87fe0-d50e-450f-9b51-21366072d449/download/iplord_1901_2020_full_data_set.csv,0.9,Provides an applicant-centric view of intellectual property filings.,,
35,34b35c52-8af0-4cc1-aa0b-2278f6416d09,ACNC 2019 Annual Information Statement Data,https://data.gov.au/dataset/acnc-2019-annual-information-statement-data,https://data.gov.au/data/dataset/34b35c52-8af0-4cc1-aa0b-2278f6416d09/resource/76006467-18f2-4094-a1cb-50544fd9b7b2/download/datadotgov_ais19.csv,0.9,This dataset contains registry information for registered Australian charities.,,
36,57d6ae20-3139-44e0-92cb-a2e706a8eba0,Contracts ACT Report as at 31 December 2020,https://data.gov.au/dataset/wp9g-3hg8,https://www.data.act.gov.au/api/v3/views/wp9g-3hg8/export.csv?accessType=DOWNLOAD,0.9,Contract registers list individual supplier contracts as events.,,
41,ab94e84b-114a-4b57-b497-725ad4ca975e,AusTender Contract Notice Export,https://data.gov.au/dataset/austender-contract-notice-export,http://data.gov.au/storage/f/2013-05-12T202412/tmph1yFnyAusTender-Contract-Notice-Export_130105.xls,0.9,A recurring export of government contract notices listing individual contract awards.,,
42,e08a07dc-e1e7-4ab9-95c0-a7930d2f6a39,ASIC - Banned and Disqualified Persons Dataset,https://data.gov.au/dataset/asic-banned-disqualified-per,https://data.gov.au/data/dataset/e08a07dc-e1e7-4ab9-95c0-a7930d2f6a39/resource/741da9e3-7e0c-458e-830c-c518698e1788/download/bd_per_202609.csv,0.9,This lists banned individuals or entities disqualified from roles.,,
43,3a4d1d90-f164-402a-a775-e280c1bd3c54,Contracts,https://data.gov.au/dataset/contract-disclosures,https://www.data.qld.gov.au/dataset/3a4d1d90-f164-402a-a775-e280c1bd3c54/resource/fe3822a1-2390-45f0-be7b-0164f88106cd/download/qhrc-contract-disclosures-july-2026.csv,0.9,Contract disclosure lists usually contain rows representing individual contract award events.,,
