checked,checker_confidence,dataset_id,download_url,entity_columns,example_entity,landing_page,model_confidence,model_reason,problem,rank,signal_abn_shaped_values,signal_acn_shaped_values,signal_column_count,signal_columns_mention_business,signal_company_word_hits,signal_name_like_columns,sniffed_format,title,verdict_yes_no,what_a_row_is,what_you_saw
False,,5bd7fcab-e315-42cb-8daf-50b7efc2027e,https://data.gov.au/data/dataset/5bd7fcab-e315-42cb-8daf-50b7efc2027e/resource/0ae4d427-6fa8-4d40-8e76-c6909b5a071b/download/public_split_1_10.zip,,,https://data.gov.au/dataset/abn-bulk-extract,1.0,This is a bulk extract of registered Australian businesses from the Australian Business Register.,"zip exceeds sample cap, not checkable",1,,,,,,,,ABN Bulk Extract,,,
True,1.0,7b8656f9-606d-4337-af29-66b89b2eeefb,https://data.gov.au/data/dataset/7b8656f9-606d-4337-af29-66b89b2eeefb/resource/5c3914e6-413e-4a2c-b890-bf8efe3eabf2/download/company_202609.csv,﻿Company Name|ACN|ABN|Current Name,LOVINI HOLDINGS PTY LTD,https://data.gov.au/dataset/asic-companies,1.0,This dataset tracks companies registered with the Australian Securities and Investments Commission.,,2,8,8,15,True,14,"[""\ufeffCompany Name"", ""ACN"", ""Current Name Indicator"", ""ABN"", ""Current Name"", ""Current Name Start Date""]",TSV,ASIC - Company Dataset,yes,an Australian registered company record,"The dataset contains Australian companies with their registered names, ACNs, and ABNs."
False,,3a3661a8-ee5d-4165-be5c-018634ca7202,http://abr.business.gov.au/abrxmlsearch/AbrXmlSearch.asmx?WSDL,,,https://data.gov.au/dataset/abn-lookup-web-services,1.0,This service provides access to individual entity records from the Australian Business Register.,"download failed: ConnectionError: HTTPConnectionPool(host='abr.business.gov.au', port=80): Max retries exceeded with url: /abrxmlsearch/AbrXmlSearch.asmx?WSDL (Caused by NewConnectionError(""HTTPConnection(host='abr.business.gov.au', port=80): Failed to establish a new connection: [Errno 61] Connection refused""))",4,,,,,,,,ABN Lookup web services,,,
True,1.0,bc515135-4bb6-4d50-957a-3713709a76d3,https://data.gov.au/data/dataset/bc515135-4bb6-4d50-957a-3713709a76d3/resource/55ad4b1c-5eeb-44ea-8b29-d410da431be3/download/business_names_202609.csv,BN_NAME|BN_ABN,   Bruce Ward Training,https://data.gov.au/dataset/asic-business-names,1.0,"This lists business names registered with ASIC, which are entities or business activities.",,5,8,0,8,True,1,"[""\ufeffREGISTER_NAME"", ""BN_NAME"", ""BN_ABN""]",TSV,ASIC - Business Names Dataset,yes,a registered business name record,The file contains registered Australian business names and their corresponding Australian Business Numbers (ABNs).
True,1.0,ab7eddce-84df-4098-bc8f-500d0d9776d1,https://data.gov.au/data/dataset/ab7eddce-84df-4098-bc8f-500d0d9776d1/resource/d98a113d-6b50-40e6-b65f-2612efc877f4/download/afs_lic_202609.csv,AFS_LIC_NAME|AFS_LIC_ABN_ACN,IPIB PTY LTD,https://data.gov.au/dataset/asic-afs-licensee,1.0,Contains details of individual Australian Financial Services Licensees.,,6,8,4,11,True,39,"[""\ufeffREGISTER_NAME"", ""AFS_LIC_NAME"", ""AFS_LIC_ABN_ACN""]",CSV,ASIC - Australian Financial Services Licensee Dataset,yes,an Australian Financial Services licensee,"The dataset explicitly lists Australian Financial Services licensee business names, ABN/ACNs, and their licensing details."
True,1.0,a7bbbf64-e2ef-4d96-9fb4-0aea73ada2af,https://data.gov.au/data/dataset/a7bbbf64-e2ef-4d96-9fb4-0aea73ada2af/resource/5515dfcc-5266-44df-950d-7e359a83d514/download/afs_rep_202609.csv,AFS_REP_NAME|AFS_REP_ACN|AFS_REP_ABN,NETWEALTH PTY LTD,https://data.gov.au/dataset/asic-afs-authorised-representative,1.0,Identifies individuals or firms acting as authorised representatives for financial services.,,7,0,26,39,True,2,"[""\ufeffREGISTER_NAME"", ""AFS_REP_NAME"", ""AFS_REP_ABN"", ""AFS_REP_ACN""]",TSV,ASIC – Australian Financial Services Authorised Representative Dataset,yes,An Australian Financial Services authorised representative registration record,"The dataset contains company names, ABNs, and ACNs representing authorised financial services business entities."
True,1.0,4117fdec-3eff-44a1-9b78-869f7ec5c409,https://data.gov.au/data/dataset/4117fdec-3eff-44a1-9b78-869f7ec5c409/resource/0f2e41ec-6f49-4d35-8e6d-ebcd4a0e3e27/download/reg_auditor_202609.csv,REG_AUD_NAME|REG_AUD_ACN|REG_AUD_NUM,A D DANIELI AUDIT PTY LTD,https://data.gov.au/dataset/asic-registered-auditor,1.0,Direct listing of individual and corporate auditors registered with the regulator.,,9,0,1,11,True,1,"[""\ufeffREGISTER_NAME"", ""REG_AUD_NAME"", ""REG_AUD_ACN""]",CSV,ASIC - Registered Auditor Dataset,yes,a registered auditor or audit company,"The dataset lists ASIC registered auditors, including identifiable audit companies with ACNs and registered individual practitioners."
False,,980b6499-c0b4-491b-ba9c-1c7506368a50,https://www.data.qld.gov.au/dataset/980b6499-c0b4-491b-ba9c-1c7506368a50/resource/25608781-b28c-44f8-8545-0ab18d84082f/download/builder-contractor-qbcc-licensee-register.csv,,,https://data.gov.au/dataset/qbcc-licensed-contractors-register,0.95,This is a comprehensive register of licensed construction contractors.,download failed: HTTP 202,18,,,,,,,,QBCC Licensed Contractors Register,,,
True,0.95,1ca29b03-220d-4c19-b34e-c7932cd4508d,http://www.education.vic.gov.au/Documents/about/research/datavic/dv183-schoolABNdetails.xlsx,,,https://data.gov.au/dataset/victorian-government-schools-abns,0.9,Contains identifying information for individual Victorian government schools.,,21,8,0,5,True,0,"[""SchoolName"", ""ABN""]",XLSX,Victorian Government Schools ABNs,no,A Victorian government school with its ABN,"The dataset contains only government schools, which are explicitly excluded from being classified as business entities."
False,,a265ef83-1190-4c63-ac51-a0ca3966c666,https://dar6fu3d3rk1b.cloudfront.net/datasets/liqvic/BYO_Permit.csv,,,https://data.gov.au/dataset/victorian-liquor-licences-split-by-licence-type,0.9,A register of specific liquor licence holders in Victoria.,download failed: HTTP 404,22,,,,,,,,Victorian liquor licences split by licence type,,,
